station,valid,lat,lon,elevation,tmpf,dwpf,relh,drct,sknt,feel
HQG,2020-08-26T06:00:00.000000,37.1631,-101.3705,956.52,70.05,51.15,51.293888,168.33333,8.666667,70.05
19S,2020-01-05T12:00:00.000000,37.4969,-100.8329,892.57,36.538887,25.055555,63.43111,331.66666,11.777778,28.155
LBL,2018-10-06T12:00:00.000000,37.0442,-100.9599,879.0,46.166668,40.833332,81.74333,185.0,15.166667,39.158333
EHA,2019-10-14T12:00:00.000000,37.0008,-101.88,1099.0,46.094444,36.427776,68.94945,258.8889,5.6666665,42.835556
LBL,2019-08-14T12:00:00.000000,37.0442,-100.9599,879.0,65.5,60.333332,83.81,266.0,8.0,65.45
3K3,2018-04-11T18:00:00.000000,37.9917,-101.7463,1005.7,70.6,27.7,23.294445,276.1111,10.111111,69.34333
3K3,2018-08-20T12:00:00.000000,37.9917,-101.7463,1005.7,54.1,50.4,87.45167,302.22223,9.611111,54.1
JHN,2020-11-19T06:00:00.000000,37.5782,-101.7304,1012.71,57.4,34.916668,42.88889,213.88889,10.833333,57.405556
19S,2019-02-04T18:00:00.000000,37.4969,-100.8329,892.57,30.05,29.266666,96.90278,52.22222,8.833333,21.397223
JHN,2019-02-12T12:00:00.000000,37.5782,-101.7304,1012.71,21.233334,12.133333,67.47278,240.55556,7.111111,11.955556
JHN,2018-02-02T12:00:00.000000,37.5782,-101.7304,1012.71,16.472221,12.711111,84.85,152.77777,6.4444447,6.4566665
19S,2018-06-01T12:00:00.000000,37.4969,-100.8329,892.57,68.62778,66.93889,94.48778,148.33333,9.944445,68.75445
19S,2020-04-24T00:00:00.000000,37.4969,-100.8329,892.57,71.4,40.633335,35.23722,181.66667,11.333333,71.4
JHN,2018-05-05T00:00:00.000000,37.5782,-101.7304,1012.71,70.61667,32.705555,24.99611,97.22222,4.3333335,69.18389
3K3,2020-06-10T18:00:00.000000,37.9917,-101.7463,1005.7,70.4,39.2,33.670555,297.22223,10.444445,70.4
3K3,2020-05-21T00:00:00.000000,37.9917,-101.7463,1005.7,76.9,57.6,52.008335,140.55556,21.11111,76.954445
19S,2020-09-14T00:00:00.000000,37.4969,-100.8329,892.57,78.816666,47.11111,34.932777,80.0,3.9444444,77.50445
GCK,2020-10-08T12:00:00.000000,37.9275,-100.7244,881.0,53.5,48.0,81.77333,158.33333,7.0,53.483334
LBL,2020-11-09T18:00:00.000000,37.0442,-100.9599,879.0,67.833336,53.333332,61.356667,201.66667,13.0,67.88333
EHA,2018-03-10T12:00:00.000000,37.0008,-101.88,1099.0,46.416668,20.044445,34.80111,241.66667,9.722222,41.190556
19S,2019-07-17T12:00:00.000000,37.4969,-100.8329,892.57,73.422226,60.738888,64.66778,183.88889,9.222222,73.58667
JHN,2019-04-22T12:00:00.000000,37.5782,-101.7304,1012.71,51.883335,43.05,72.07611,329.44446,16.38889,50.94278
3K3,2019-03-29T12:00:00.000000,37.9917,-101.7463,1005.7,37.4,37.1,98.85667,26.666666,8.222222,30.751667
3K3,2020-09-11T06:00:00.000000,37.9917,-101.7463,1005.7,49.8,45.0,83.545,26.11111,0.5,49.730556
GCK,2018-04-08T06:00:00.000000,37.9275,-100.7244,881.0,33.211113,17.311111,52.94,166.66667,15.111111,22.397778
EHA,2018-02-21T06:00:00.000000,37.0008,-101.88,1099.0,19.7,3.2666667,48.27889,40.555557,8.555555,8.611111
EHA,2020-09-02T12:00:00.000000,37.0008,-101.88,1099.0,65.8,65.35555,98.45389,320.0,4.7777777,65.79444
3K3,2018-03-17T18:00:00.000000,37.9917,-101.7463,1005.7,52.1,29.7,45.90167,139.44444,8.222222,51.49889
JHN,2018-04-04T12:00:00.000000,37.5782,-101.7304,1012.71,28.972221,3.4333334,33.49222,192.77777,11.166667,18.932777
3K3,2019-01-29T12:00:00.000000,37.9917,-101.7463,1005.7,12.4,9.1,86.43889,44.444443,1.7777778,8.883889
LBL,2019-01-18T00:00:00.000000,37.0442,-100.9599,879.0,53.5,31.466667,44.23,163.33333,10.333333,51.07
GCK,2019-08-23T06:00:00.000000,37.9275,-100.7244,881.0,67.666664,64.333336,89.37444,132.22223,10.555555,67.63333
19S,2019-04-16T00:00:00.000000,37.4969,-100.8329,892.57,76.71111,33.944443,21.919445,218.88889,7.6666665,75.308334
JHN,2019-01-11T06:00:00.000000,37.5782,-101.7304,1012.71,34.66111,30.416666,84.37334,248.88889,4.4444447,30.247778
19S,2018-03-21T00:00:00.000000,37.4969,-100.8329,892.57,54.788887,23.872223,31.117222,266.1111,11.833333,53.48
EHA,2020-03-21T00:00:00.000000,37.0008,-101.88,1099.0,42.505554,24.0,48.459446,108.333336,5.8333335,38.352222
JHN,2020-06-26T18:00:00.000000,37.5782,-101.7304,1012.71,86.5,61.30588,43.548824,265.29413,10.0,86.827644
LBL,2020-12-22T18:00:00.000000,37.0442,-100.9599,879.0,48.333332,30.433332,55.03,195.0,15.833333,44.1
JHN,2018-08-16T18:00:00.000000,37.5782,-101.7304,1012.71,90.79444,51.583332,26.991112,152.22223,6.111111,88.34722
3K3,2020-10-06T12:00:00.000000,37.9917,-101.7463,1005.7,44.9,33.0,63.393333,202.22223,3.6666667,42.592777
EHA,2019-12-13T18:00:00.000000,37.0008,-101.88,1099.0,52.805557,30.022223,42.112778,174.44444,6.2777777,51.612778
LBL,2019-05-27T00:00:00.000000,37.0442,-100.9599,879.0,68.46667,64.816666,88.3,156.66667,15.416667,68.46667
HQG,2018-01-19T12:00:00.000000,37.1631,-101.3705,956.52,22.3,5.9666667,49.059444,233.88889,4.5,15.782778
JHN,2020-06-03T12:00:00.000000,37.5782,-101.7304,1012.71,68.2,56.05,65.70389,195.55556,5.6666665,68.21111
EHA,2018-07-07T06:00:00.000000,37.0008,-101.88,1099.0,69.611115,66.68889,90.62444,31.11111,1.1111112,69.611115
3K3,2019-04-21T12:00:00.000000,37.9917,-101.7463,1005.7,51.9,34.3,51.68222,225.0,5.2222223,50.968334
